"payment_month","user_id","language","age","revenue","payment_first_month","payment_first","revenue_first","churned_month","churned_user","churned_revenue","expansion_revenue","contraction_revenue","lt"
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,23.76,2022-03-01,1,23.76,2022-04-01,0,0,0,0,6.0
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,27.15,2022-03-01,1,27.15,2022-04-01,0,0,0,0,9.0
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,17.79,2022-03-01,1,17.79,2022-04-01,0,0,0,0,9.0
2022-03-01,"72brUr/DKItStlTen5pHYg==",uk,24,24.15,2022-03-01,1,24.15,2022-04-01,1,24.15,0,0,8.0
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,14.1,2022-03-01,1,14.1,2022-04-01,0,0,0,0,6.0
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,48.45,2022-03-01,1,48.45,2022-04-01,0,0,0,0,9.0
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,158.67,2022-03-01,1,158.67,2022-04-01,0,0,0,0,9.0
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,38.52,2022-03-01,1,38.52,2022-04-01,0,0,0,0,7.0
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,34.74,2022-03-01,1,34.74,2022-04-01,0,0,0,0,9.0
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",ru,22,16.98,2022-03-01,1,16.98,2022-04-01,1,16.98,0,0,0.0
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,uk,24,45.27,2022-03-01,1,45.27,2022-04-01,0,0,0,0,7.0
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,42.03,2022-03-01,1,42.03,2022-04-01,0,0,0,0,9.0
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,13.98,2022-03-01,1,13.98,2022-04-01,0,0,0,0,3.0
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,ru,23,15.3,2022-03-01,1,15.3,2022-04-01,0,0,0,0,9.0
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,uk,18,89.22,2022-03-01,1,89.22,2022-04-01,1,89.22,0,0,7.0
2022-03-01,CCwTMcGtpirFFuqzSeTyaQ==,uk,18,15.84,2022-03-01,1,15.84,2022-04-01,0,0,0,0,1.0
2022-03-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,ru,35,12.54,2022-03-01,1,12.54,2022-04-01,1,12.54,0,0,2.0
2022-03-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,17.13,2022-03-01,1,17.13,2022-04-01,0,0,0,0,9.0
2022-03-01,H44DjZG42orzuBXLai7JkA==,ru,29,13.32,2022-03-01,1,13.32,2022-04-01,1,13.32,0,0,0.0
2022-03-01,HJccOn6v5KHqBa8wRu42oQ==,uk,20,27.6,2022-03-01,1,27.6,2022-04-01,1,27.6,0,0,6.0
2022-03-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,66.18,2022-03-01,1,66.18,2022-04-01,0,0,0,0,9.0
2022-03-01,iFFApiXZ2wPdS666BLpKZw==,uk,18,26.85,2022-03-01,1,26.85,2022-04-01,0,0,0,0,7.0
2022-03-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,16.14,2022-03-01,1,16.14,2022-04-01,0,0,0,0,3.0
